Name,Alternate 1,UWI number,Quadrant,Block,Operator,Licence number,Intent,Intent - planned,Well status,Well content,Status,Content - planned,Type,Subsea,SPUD date,Completion date,Field,Predrilled entry date,Predrilled completion date,Drill permit,Discovery name,Discovery wellbore,KBE,Final vertical depth (TVD) [m RKB],Terminal depth,Water depth,Kick off point [m RKB],Location,Country,Facility,Drilling facility type,Drilling facility category,Licensing activity awarded in,Production facility,Multilateral,Entry year,Completed year,Reclassified from/to wellbore,Plot symbol,Geodatum,Latitude,Longitude,Surface Y,Surface X,UTM zone,Grid system,DISKOS Well Type,DISKOS Wellbore Parent,NPDID wellbore,NPDID discovery,NPDID field,Publication date,Release date,NPDID production licence drilled in,NPDID drilling facility,NPDID production facility,NPDID wellbore reclassified from,Date main level updated,Date all updated,Date sync NPD
34/10-B-21,34/10-B-21,1933,34,10,Den norske stats oljeselskap a.s,050 ,PRODUCTION,PRODUCTION,PLUGGED,OIL,Plugged Oil,OIL,DEVELOPMENT, NO,1992-02-27 00:00:00.000,1992-04-06 00:00:00.000,GULLFAKS,,,702-P,34/10-1 Gullfaks,NO,81.0,2111.0,2770.0,142.0,,NORTH SEA,NORWAY,GULLFAKS B,CONDEEP 4 SHAFTS,FIXED,Awarded additionally to round 3,GULLFAKS B,NO,1992,1992,,,ED50,61.202731,2.201736,6785791.95,457099.25,31,ED50 / UTM zone 31N,initial             ,                                        ,1933,44594,43686,,1994-04-06 00:00:00.000,21188,271917,271917.0,0,2019-12-09 00:00:00.000,2019-03-09 00:00:00.000,09.02.2020
34/10-B-21 A,34/10-B-21,4317,34,10,Statoil ASA (old),050 ,PRODUCTION,PRODUCTION,PLUGGED,OIL,Plugged Oil,OIL,DEVELOPMENT, NO,2001-05-30 00:00:00.000,2001-06-08 00:00:00.000,GULLFAKS,,,1939-P,34/10-1 Gullfaks,NO,81.0,1981.0,2700.0,142.0,2142.0,NORTH SEA,NORWAY,GULLFAKS B,CONDEEP 4 SHAFTS,FIXED,Awarded additionally to round 3,GULLFAKS B,NO,2001,2001,,,ED50,61.202731,2.201736,6785791.95,457099.25,31,ED50 / UTM zone 31N,sidetrack           ,34/10-B-21                              ,4317,44594,43686,,2003-06-08 00:00:00.000,21188,271917,271917.0,0,2019-12-09 00:00:00.000,2015-10-06 00:00:00.000,09.02.2020
34/10-B-21 B,34/10-B-21,4756,34,10,Statoil ASA (old),050 ,PRODUCTION,PRODUCTION,PRODUCING,OIL,Producing Oil,OIL,DEVELOPMENT, NO,2001-06-13 00:00:00.000,2001-06-21 00:00:00.000,GULLFAKS,,,2294-P,34/10-1 Gullfaks,NO,81.0,1916.0,2244.0,142.0,2173.0,NORTH SEA,NORWAY,GULLFAKS B,CONDEEP 4 SHAFTS,FIXED,Awarded additionally to round 3,GULLFAKS B,NO,2001,2001,,,ED50,61.202731,2.201736,6785791.95,457099.25,31,ED50 / UTM zone 31N,sidetrack           ,34/10-B-21 A                            ,4756,44594,43686,,2003-06-21 00:00:00.000,21188,271917,271917.0,0,2019-12-09 00:00:00.000,2015-10-06 00:00:00.000,09.02.2020
34/10-B-22,34/10-B-22,1955,34,10,Den norske stats oljeselskap a.s,050 ,INJECTION,INJECTION,PLUGGED,WATER,Plugged Water,WATER,DEVELOPMENT, NO,1992-05-15 00:00:00.000,1992-06-12 00:00:00.000,GULLFAKS,,,714-P,34/10-1 Gullfaks,NO,81.0,2279.0,2450.0,144.0,,NORTH SEA,NORWAY,GULLFAKS B,CONDEEP 4 SHAFTS,FIXED,Awarded additionally to round 3,GULLFAKS B,NO,1992,1992,,,ED50,61.203128,2.201306,6785836.48,457076.65,31,ED50 / UTM zone 31N,initial             ,                                        ,1955,44594,43686,,1994-06-12 00:00:00.000,21188,271917,271917.0,0,2019-12-09 00:00:00.000,2019-03-09 00:00:00.000,09.02.2020
34/10-B-22 A,34/10-B-22,1985,34,10,Den norske stats oljeselskap a.s,050 ,INJECTION,INJECTION,PLUGGED,WATER,Plugged Water,WATER,DEVELOPMENT, NO,1992-06-25 00:00:00.000,1992-07-06 00:00:00.000,GULLFAKS,,,724-P,34/10-1 Gullfaks,NO,81.0,2262.0,2477.0,144.0,1720.0,NORTH SEA,NORWAY,GULLFAKS B,CONDEEP 4 SHAFTS,FIXED,Awarded additionally to round 3,GULLFAKS B,NO,1992,1992,,,ED50,61.203128,2.201306,6785836.48,457076.65,31,ED50 / UTM zone 31N,sidetrack           ,34/10-B-22                              ,1985,44594,43686,,1994-07-06 00:00:00.000,21188,271917,271917.0,0,2019-12-09 00:00:00.000,2019-03-09 00:00:00.000,09.02.2020
34/10-B-22 B,34/10-B-22,8750,34,10,Equinor Energy AS,050 ,PRODUCTION,PRODUCTION,PRODUCING,OIL,Producing Oil,OIL,DEVELOPMENT, NO,2019-04-06 00:00:00.000,2019-06-10 00:00:00.000,GULLFAKS,,,4798-P,34/10-1 Gullfaks,NO,81.0,,3100.0,142.0,1340.0,NORTH SEA,NORWAY,GULLFAKS B,CONDEEP 4 SHAFTS,FIXED,Awarded additionally to round 3,GULLFAKS B,NO,2019,2019,,,ED50,61.203128,2.201306,6785836.48,457076.65,31,ED50 / UTM zone 31N,sidetrack           ,34/10-B-22 A                            ,8750,44594,43686,,2021-06-10 00:00:00.000,21188,271917,271917.0,0,2019-10-03 00:00:00.000,,09.02.2020
34/10-B-23,34/10-B-23,1982,34,10,Den norske stats oljeselskap a.s,050 ,PRODUCTION,PRODUCTION,PRODUCING,OIL/GAS,Producing Oil Gas,OIL,DEVELOPMENT, NO,1992-06-14 00:00:00.000,1992-08-30 00:00:00.000,GULLFAKS,,,723-P,34/10-1 Gullfaks,NO,81.0,1883.2,2985.0,144.0,,NORTH SEA,NORWAY,GULLFAKS B,CONDEEP 4 SHAFTS,FIXED,Awarded additionally to round 3,GULLFAKS B,NO,1992,1992,,,ED50,61.202783,2.201831,6785797.77,457104.4,31,ED50 / UTM zone 31N,initial             ,                                        ,1982,44594,43686,,1994-08-30 00:00:00.000,21188,271917,271917.0,0,2019-12-09 00:00:00.000,2019-03-09 00:00:00.000,09.02.2020
34/10-B-24,34/10-B-24,2023,34,10,Den norske stats oljeselskap a.s,050 ,PRODUCTION,PRODUCTION,PLUGGED,OIL,Plugged Oil,OIL,DEVELOPMENT, NO,1992-09-11 00:00:00.000,1992-10-25 00:00:00.000,GULLFAKS,,,738-P,34/10-1 Gullfaks,NO,81.0,2020.0,3180.0,144.0,,NORTH SEA,NORWAY,GULLFAKS B,CONDEEP 4 SHAFTS,FIXED,Awarded additionally to round 3,GULLFAKS B,NO,1992,1992,,,ED50,61.203078,2.201311,6785830.9,457076.88,31,ED50 / UTM zone 31N,initial             ,                                        ,2023,44594,43686,,1994-10-25 00:00:00.000,21188,271917,271917.0,0,2019-12-09 00:00:00.000,2019-03-09 00:00:00.000,09.02.2020
34/10-B-24 A,34/10-B-24,6349,34,10,Statoil Petroleum AS,050 ,PRODUCTION,PRODUCTION,PRODUCING,OIL/GAS,Producing Oil Gas,OIL,DEVELOPMENT, NO,2010-08-14 00:00:00.000,2010-08-23 00:00:00.000,GULLFAKS,,,3223-P,34/10-1 Gullfaks,NO,80.7,1962.0,3079.0,142.6,2251.0,NORTH SEA,NORWAY,GULLFAKS B,CONDEEP 4 SHAFTS,FIXED,Awarded additionally to round 3,GULLFAKS B,NO,2010,2010,,,ED50,61.203078,2.201311,6785830.9,457076.88,31,ED50 / UTM zone 31N,sidetrack           ,34/10-B-24                              ,6349,44594,43686,,2012-08-23 00:00:00.000,21188,271917,271917.0,0,2019-12-09 00:00:00.000,2015-10-06 00:00:00.000,09.02.2020
34/10-B-25,34/10-B-25,2032,34,10,Den norske stats oljeselskap a.s,050 ,PRODUCTION,PRODUCTION,PLUGGED,OIL,Plugged Oil,OIL,DEVELOPMENT, NO,1992-11-22 00:00:00.000,1993-04-30 00:00:00.000,GULLFAKS,,,753-P,34/10-1 Gullfaks,NO,81.0,2076.0,5583.0,144.0,,NORTH SEA,NORWAY,GULLFAKS B,CONDEEP 4 SHAFTS,FIXED,Awarded additionally to round 3,GULLFAKS B,NO,1992,1993,,,ED50,61.203061,2.201439,6785828.96,457083.73,31,ED50 / UTM zone 31N,initial             ,                                        ,2032,44594,43686,,1995-04-30 00:00:00.000,21188,271917,271917.0,0,2019-12-09 00:00:00.000,2019-03-09 00:00:00.000,09.02.2020
