Well,Test number,Top depth,Base depth,Choke size [mm],Final shut-in pressure [MPa],Final flow pressure [MPa],Bottom hole pressure [MPa],Oil [Sm3/day],Gas [Sm3/day],Oil density [g/cm3],Gas grav. rel.air,GOR [m3/m3],Downhole temperature [°C]
15/9-17,2.0,2726.0,2741.0,19.0,0.0,0.0,0.0,205,570000,0.0,0.0,2780,0
15/9-17,3.0,2381.0,2414.0,19.0,0.0,0.0,0.0,280,525000,0.0,0.0,1875,0
15/9-19 A,1.0,3099.0,3102.0,15.1,0.0,3.0,21.0,200,27000,0.892,0.738,90,112
15/9-19 A,2.0,3046.0,3081.0,13.5,9.0,9.0,32.0,528,38107,0.902,0.73,72,111
15/9-19 SR,1.0,4316.0,4338.0,12.7,0.0,0.0,0.0,680,66640,0.87,0.74,98,0
15/9-5,1.0,3617.0,3647.0,25.0,0.0,0.0,0.0,218,768,0.799,0.768,3,0
15/9-5,2.0,3588.0,3593.0,0.0,0.0,0.0,0.0,229,865,0.811,0.886,4,0
15/9-5,3.0,3511.0,3521.0,0.0,0.0,0.0,0.0,206,813,0.0,0.0,4,0
15/9-6,1.0,3671.0,3674.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
15/9-6,2.0,3637.0,3638.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
15/9-6,3.0,3555.0,3565.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
15/9-7,1.0,3671.0,3674.0,9.5,0.0,0.0,0.0,38,194000,0.797,0.78,5107,0
15/9-7,2.0,3637.0,3638.0,9.5,0.0,0.0,0.0,93,322000,0.79,0.775,3461,0
15/9-7,3.0,3555.0,3565.0,25.4,0.0,0.0,0.0,243,913000,0.792,0.775,3760,0
15/9-8,1.0,3450.0,3460.0,36.1,0.0,0.0,0.0,255,820000,0.78,0.74,3200,121
15/9-9,1.0,2414.0,2421.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
15/9-9,2.0,2386.0,2392.0,25.4,0.0,0.0,0.0,295,580000,0.74,0.74,0,0
15/9-9,3.0,2323.0,2332.0,25.4,0.0,0.0,0.0,271,590000,0.74,0.74,0,0
16/1-10,1.0,1920.0,1958.0,25.4,0.0,16.2,0.0,2,0,0.0,0.0,0,80
16/1-10,2.0,1897.0,1910.0,12.7,6.0,17.0,0.0,338,35500,0.0,0.0,105,82
16/1-11,1.0,0.0,0.0,24.0,0.0,0.0,0.0,525,0,0.0,0.0,0,98
16/11-2,2.0,2251.0,2262.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
16/11-2,3.0,2231.0,2242.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
16/1-15,1.0,1926.0,1960.0,15.8,0.0,0.0,0.0,105,0,0.0,0.0,0,0
16/1-15,2.0,1917.0,1920.0,15.8,0.0,0.0,0.0,620,0,0.0,0.0,0,0
16/1-18,1.0,1938.9,1951.6,11.1,0.0,0.0,0.0,135,12000,0.0,0.0,88,40
16/1-25 S,1.0,2006.83,2029.26,14.3,0.0,0.0,0.0,47,13300,0.0,0.0,280,0
16/1-8 R,1.0,1944.6,1959.0,7.9,0.0,11.3,0.0,74,6400,0.0,0.0,87,0
16/1-8 R,2.0,1926.0,1936.0,15.9,0.0,18.0,0.0,564,53000,0.0,0.0,94,0
16/2-11,1.0,1934.5,1943.3,16.0,0.0,0.0,0.0,430,0,0.0,0.0,0,0
16/2-17 S,1.0,1929.0,1937.0,17.4,0.0,0.0,0.0,470,15400,0.0,0.0,0,77
16/2-17 S,2.0,1875.0,1914.0,20.6,0.0,0.0,0.0,1050,20300,0.0,0.0,0,74
16/2-5,1.0,1885.0,1902.0,23.8,0.0,19.0,0.0,0,120000,0.0,0.0,0,71
16/2-6,1.0,1931.8,1938.15,20.6,0.0,0.0,0.0,780,0,0.0,0.0,0,0
16/3-4,1.0,1923.0,1936.0,20.6,0.0,0.0,0.0,885,18200,0.883,0.0,20,83
16/3-5,1.0,1918.0,1945.0,16.0,0.0,0.0,0.0,740,16000,0.0,0.0,17,0
16/3-8 S,1.0,1964.08,1979.2,20.6,0.0,0.0,0.0,779,0,0.0,0.0,0,0
16/4-6 S,1.0,1960.6,1980.6,18.4,0.0,0.0,0.0,325,0,0.0,0.0,180,0
16/4-8 S,1.0,1940.0,1958.0,11.1,0.0,0.0,0.0,63,12030,0.0,0.0,192,44
16/4-9 S,1.0,1981.0,2001.9,11.1,0.0,0.0,0.0,136,23400,0.0,0.0,172,78
16/7-4,1.0,2590.0,2597.0,16.7,0.0,0.0,0.0,199,385110,0.75,0.79,1938,0
16/7-4,2.0,2525.0,2535.0,16.7,0.0,0.0,0.0,253,472890,0.74,0.8,1871,0
16/7-7 S,1.0,2752.0,2785.0,17.4,15.6,0.0,0.0,513,0,0.74,0.94,517,100
16/7-7 S,2.0,2852.0,2762.0,17.4,11.4,0.0,0.0,563,253350,0.74,0.94,450,100
17/12-1 R,1.0,2337.0,2341.0,4.7,0.0,0.0,0.0,140,4813,0.88,0.0,34,0
17/12-1 R,2.0,2316.0,2325.0,4.7,0.0,0.0,0.0,80,4277,0.86,0.0,53,0
17/12-1 R,3.0,2316.0,2342.0,3.2,0.0,0.0,0.0,159,7000,0.86,0.0,44,0
17/12-2,1.0,2166.0,2169.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0
17/12-2,2.0,2157.0,2162.0,6.3,4.0,3.0,0.0,366,31820,0.887,0.0,87,0
17/12-4 A,1.0,2694.0,2760.0,12.5,24.0,0.0,16.0,400,11500,0.0,0.0,0,84
18/10-1,1.0,2414.0,2427.0,50.8,23.0,19.0,0.0,295,2850,0.834,0.724,9,67
2/1-1,1.0,3620.0,3743.0,0.0,16.0,0.0,0.0,0,14100,0.0,0.0,0,0
2/11-1,1.0,2633.0,2639.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/11-1,2.0,2595.0,2605.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/11-1,3.0,2629.0,2651.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/11-1,4.0,2646.0,2651.0,12.5,0.0,0.0,0.0,72,0,0.0,0.0,0,0
2/11-2,1.0,2672.0,2680.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/11-2,2.0,2643.0,2665.0,0.0,0.0,0.0,0.0,545,82120,0.83,0.0,194,0
2/11-3 A,1.0,3268.0,3280.0,9.5,0.0,0.0,0.0,88,12743,0.88,0.8,0,0
2/11-3 A,2.0,3230.0,3236.0,9.5,0.0,0.0,0.0,519,63429,0.84,0.69,0,0
2/11-4,1.0,2698.0,2707.0,99.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/11-4,2.0,2588.0,2595.0,99.0,0.0,0.0,0.0,213,32000,0.0,0.0,0,0
2/11-6 S,1.0,3875.0,3900.0,3.2,0.0,0.0,0.0,364,39000,0.0,0.0,105,0
