Well,Test type,Bottle number,Top depth,Base depth,Fluid type,Test time ,Received date,NPDID wellbore
15/9-C-2 H,DST ,          ,0.0,0.0, ,,1993-07-14 00:00:00,2024
15/9-D-1 H,DST ,          ,0.0,0.0, ,1993-06-03 06:00:00,1993-07-16 00:00:00,2082
15/9-D-3 H,DST ,          ,0.0,0.0, ,1993-05-16 00:00:00,1993-06-09 00:00:00,2083
16/1-10,DST ,          ,0.0,0.0, ,,2011-08-06 00:00:00,5879
16/1-11,DST ,          ,2445.0,2415.0,OIL,2010-04-16 00:00:00,,6157
16/1-13,DST ,          ,1924.5,0.0, ,,2011-08-06 00:00:00,6232
16/1-13,DST ,          ,1965.0,0.0, ,,2011-08-06 00:00:00,6232
16/1-15,DST ,          ,0.0,0.0, ,,2011-08-06 00:00:00,6517
16/1-15,MDT ,          ,2067.8,0.0,OIL,2011-05-07 00:00:00,2012-01-30 00:00:00,6517
16/1-16,MDT ,          ,0.0,0.0,OIL,,2013-02-07 00:00:00,6823
16/1-16,MDT ,          ,0.0,0.0,OIL,,2013-02-07 00:00:00,6823
16/1-16 A,MDT ,          ,2685.2,0.0,OIL,,2013-02-07 00:00:00,7095
16/1-17,MDT ,          ,1915.2,0.0,OIL,2013-03-05 00:00:00,2013-06-12 00:00:00,7113
16/1-19 S,MDT ,          ,1929.5,0.0,OIL,,2014-06-17 00:00:00,7255
16/2-10,MDT ,          ,1927.0,0.0,OIL,2011-10-21 00:00:00,2012-02-20 00:00:00,6715
16/2-10,MDT ,          ,1935.5,0.0,OIL,2011-10-19 00:00:00,2012-02-20 00:00:00,6715
16/2-10,MDT ,          ,1893.5,0.0,OIL,2011-10-19 00:00:00,2012-02-20 00:00:00,6715
16/2-11,DST ,          ,1943.3,1934.5,OIL,2012-03-21 16:40:00,2013-12-10 00:00:00,6742
16/2-11,MDT ,          ,0.0,0.0,OIL,2012-03-05 00:00:00,2013-02-07 00:00:00,6742
16/2-11 A,MDT ,          ,2186.1,0.0,OIL,2012-04-27 00:00:00,2012-07-19 00:00:00,6849
16/2-11 A,MDT ,          ,0.0,2202.0,OIL,2012-04-27 00:00:00,2012-07-19 00:00:00,6849
