Wellbore,Title,Document URL
1/3-6,1/3-6 GEOCHEMICAL INFORMATION: 1521_2 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/1521_2.pdf
1/3-6,1/3-6 OLD NPD WDSS: 1521_01_WDSS_General_Information (pdf),https://factpages.npd.no/pbl/wdss_old/1521_01_WDSS_General_Information.pdf
1/3-6,1/3-6 OLD NPD WDSS: 1521_02_WDSS_completion_log (pdf),https://factpages.npd.no/pbl/wdss_old/1521_02_WDSS_completion_log.pdf
1/3-6,1/3-6 PRESSURE PLOT: 1521_Formation_pressure_(Formasjonstrykk) (pdf),https://factpages.npd.no/pbl/wellbore_pressure_plot_pdfs/1521_Formation_pressure_(Formasjonstrykk).pdf
1/3-6,1/3-6 REPORTED BY LICENSEE: 1521_1_3_6_COMPLETION_LOG (pdf),https://factpages.npd.no/pbl/wellbore_documents/1521_1_3_6_COMPLETION_LOG.pdf
1/3-6,1/3-6 REPORTED BY LICENSEE: 1521_1_3_6_COMPLETION_REPORT (pdf),https://factpages.npd.no/pbl/wellbore_documents/1521_1_3_6_COMPLETION_REPORT.pdf
1/3-7,1/3-7 GEOCHEMICAL INFORMATION: 2505_1 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/2505_1.pdf
1/3-7,1/3-7 GEOCHEMICAL INFORMATION: 2505_2 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/2505_2.pdf
1/3-7,1/3-7 REPORTED BY LICENSEE: 2505_1_3_7_COMPLETION_LOG (pdf),https://factpages.npd.no/pbl/wellbore_documents/2505_1_3_7_COMPLETION_LOG.pdf
1/3-7,1/3-7 REPORTED BY LICENSEE: 2505_1_3_7_COMPLETION_REPORT (pdf),https://factpages.npd.no/pbl/wellbore_documents/2505_1_3_7_COMPLETION_REPORT.pdf
1/3-8,1/3-8 GEOCHEMICAL INFORMATION: 2829_1 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/2829_1.pdf
1/3-8,1/3-8 GEOCHEMICAL INFORMATION: 2829_2 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/2829_2.pdf
1/3-8,1/3-8 PRESSURE PLOT: 2829__Formation_pressure_(Formasjonstrykk) (pdf),https://factpages.npd.no/pbl/wellbore_pressure_plot_pdfs/2829__Formation_pressure_(Formasjonstrykk).pdf
1/3-8,1/3-8 REPORTED BY LICENSEE: 2829_1_3_8_COMPLETION_REPORT (pdf),https://factpages.npd.no/pbl/wellbore_documents/2829_1_3_8_COMPLETION_REPORT.pdf
1/3-9 S,1/3-9 S GEOCHEMICAL INFORMATION: 3362_1 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/3362_1.pdf
1/3-9 S,1/3-9 S GEOCHEMICAL INFORMATION: 3362_2 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/3362_2.pdf
1/3-9 S,1/3-9 S GEOCHEMICAL INFORMATION: 3362_3 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/3362_3.pdf
1/3-9 S,1/3-9 S PRESSURE PLOT: 3362__Formation_pressure_(Formasjonstrykk) (pdf),https://factpages.npd.no/pbl/wellbore_pressure_plot_pdfs/3362__Formation_pressure_(Formasjonstrykk).pdf
1/5-1,1/5-1 OLD NPD WDSS: 237_01_WDSS_General_Information (pdf),https://factpages.npd.no/pbl/wdss_old/237_01_WDSS_General_Information.pdf
1/5-2,1/5-2 COMPOSITE LOG: 238 (pdf),https://factpages.npd.no/pbl/wellbore_composite_logs/238.pdf
1/5-2,1/5-2 GEOCHEMICAL INFORMATION: 238_1 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/238_1.pdf
1/5-2,1/5-2 GEOCHEMICAL INFORMATION: 238_2 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/238_2.pdf
1/5-2,1/5-2 GEOCHEMICAL INFORMATION: 238_3 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/238_3.pdf
1/5-2,1/5-2 OLD NPD WDSS: 238_01_WDSS_General_Information (pdf),https://factpages.npd.no/pbl/wdss_old/238_01_WDSS_General_Information.pdf
1/5-2,1/5-2 REPORTED BY LICENSEE: 238_01_1_5_2_CompletionLog (pdf),https://factpages.npd.no/pbl/wellbore_documents/238_01_1_5_2_CompletionLog.pdf
1/5-2,1/5-2 REPORTED BY LICENSEE: 238_01_1_5_2_CompletionReport (pdf),https://factpages.npd.no/pbl/wellbore_documents/238_01_1_5_2_CompletionReport.pdf
1/5-3 S,1/5-3 S COMPOSITE LOG: 3257 (pdf),https://factpages.npd.no/pbl/wellbore_composite_logs/3257.pdf
1/5-3 S,1/5-3 S GEOCHEMICAL INFORMATION: 3257_1 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/3257_1.pdf
1/5-4 S,1/5-4 S COMPOSITE LOG: 4521 (pdf),https://factpages.npd.no/pbl/wellbore_composite_logs/4521.pdf
1/5-4 S,1/5-4 S GEOCHEMICAL INFORMATION: 4521_1 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/4521_1.pdf
1/5-4 S,1/5-4 S PRESSURE PLOT: 4521_Formation_pressure_(Formasjonstrykk) (pdf),https://factpages.npd.no/pbl/wellbore_pressure_plot_pdfs/4521_Formation_pressure_(Formasjonstrykk).pdf
1/6-1,1/6-1 GEOCHEMICAL INFORMATION: 239_1 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/239_1.pdf
1/6-1,1/6-1 GEOCHEMICAL INFORMATION: 239_2 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/239_2.pdf
1/6-1,1/6-1 GEOCHEMICAL INFORMATION: 239_3 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/239_3.pdf
1/6-1,1/6-1 OLD NPD WDSS: 239_01_WDSS_General_Information (pdf),https://factpages.npd.no/pbl/wdss_old/239_01_WDSS_General_Information.pdf
1/6-1,1/6-1 REPORTED BY LICENSEE: 239_01_1_6_1_Completion_Report_and_Completion_log (pdf),https://factpages.npd.no/pbl/wellbore_documents/239_01_1_6_1_Completion_Report_and_Completion_log.pdf
1/6-2,1/6-2 COMPOSITE LOG: 240 (pdf),https://factpages.npd.no/pbl/wellbore_composite_logs/240.pdf
1/6-2,1/6-2 OLD NPD WDSS: 240_01_WDSS_General_Information (pdf),https://factpages.npd.no/pbl/wdss_old/240_01_WDSS_General_Information.pdf
1/6-2,1/6-2 REPORTED BY LICENSEE: 240_1_6_2_Completion_Log (pdf),https://factpages.npd.no/pbl/wellbore_documents/240_1_6_2_Completion_Log.pdf
1/6-2,1/6-2 REPORTED BY LICENSEE: 240_1_6_2_Completion_report (pdf),https://factpages.npd.no/pbl/wellbore_documents/240_1_6_2_Completion_report.pdf
1/6-3,1/6-3 OLD NPD WDSS: 241_01_WDSS_General_Information (pdf),https://factpages.npd.no/pbl/wdss_old/241_01_WDSS_General_Information.pdf
1/6-3,1/6-3 REPORTED BY LICENSEE: 241_01_1_6_3_Completion_log (pdf),https://factpages.npd.no/pbl/wellbore_documents/241_01_1_6_3_Completion_log.pdf
1/6-3,1/6-3 REPORTED BY LICENSEE: 241_01_1_6_3_Completion_Report (pdf),https://factpages.npd.no/pbl/wellbore_documents/241_01_1_6_3_Completion_Report.pdf
1/6-4,1/6-4 GEOCHEMICAL INFORMATION: 242_1 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/242_1.pdf
1/6-4,1/6-4 GEOCHEMICAL INFORMATION: 242_2 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/242_2.pdf
1/6-4,1/6-4 OLD NPD WDSS: 242_01_WDSS_General_Information (pdf),https://factpages.npd.no/pbl/wdss_old/242_01_WDSS_General_Information.pdf
1/6-4,1/6-4 REPORTED BY LICENSEE: 242_1_6_4_Completion_Log (pdf),https://factpages.npd.no/pbl/wellbore_documents/242_1_6_4_Completion_Log.pdf
1/6-4,1/6-4 REPORTED BY LICENSEE: 242_1_6_4_Completion_report (pdf),https://factpages.npd.no/pbl/wellbore_documents/242_1_6_4_Completion_report.pdf
1/6-5,1/6-5 COMPOSITE LOG: 1508_1_6_5 (pdf),https://factpages.npd.no/pbl/wellbore_composite_logs/1508_1_6_5.pdf
1/6-5,1/6-5 OLD NPD WDSS: 1508_01_WDSS_General_Information (pdf),https://factpages.npd.no/pbl/wdss_old/1508_01_WDSS_General_Information.pdf
1/6-5,1/6-5 OLD NPD WDSS: 1508_02_WDSS_completion_log (pdf),https://factpages.npd.no/pbl/wdss_old/1508_02_WDSS_completion_log.pdf
1/6-5,1/6-5 PRESSURE PLOT: 1508_Formation_pressure_(Formasjonstrykk) (PDF),https://factpages.npd.no/pbl/wellbore_pressure_plot_pdfs/1508_Formation_pressure_(Formasjonstrykk).PDF
1/6-5,1/6-5 REPORTED BY LICENSEE: 1508_1_6_5_Completion_Log (pdf),https://factpages.npd.no/pbl/wellbore_documents/1508_1_6_5_Completion_Log.pdf
1/6-5,1/6-5 REPORTED BY LICENSEE: 1508_1_6_5_Completion_report_1 (pdf),https://factpages.npd.no/pbl/wellbore_documents/1508_1_6_5_Completion_report_1.pdf
1/6-5,1/6-5 REPORTED BY LICENSEE: 1508_1_6_5_Completion_report_2 (pdf),https://factpages.npd.no/pbl/wellbore_documents/1508_1_6_5_Completion_report_2.pdf
1/6-7,1/6-7 COMPOSITE LOG: 1928_1_6_7 (pdf),https://factpages.npd.no/pbl/wellbore_composite_logs/1928_1_6_7.pdf
1/6-7,1/6-7 GEOCHEMICAL INFORMATION: 1928_1 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/1928_1.pdf
1/6-7,1/6-7 GEOCHEMICAL INFORMATION: 1928_2 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/1928_2.pdf
1/6-7,1/6-7 OLD NPD WDSS: 1928_01_WDSS_General_Information (pdf),https://factpages.npd.no/pbl/wdss_old/1928_01_WDSS_General_Information.pdf
1/6-7,1/6-7 OLD NPD WDSS: 1928_02_WDSS_completion_log (pdf),https://factpages.npd.no/pbl/wdss_old/1928_02_WDSS_completion_log.pdf
1/6-7,1/6-7 PRESSURE PLOT: 1928_Formation_pressure_(Formasjonstrykk) (pdf),https://factpages.npd.no/pbl/wellbore_pressure_plot_pdfs/1928_Formation_pressure_(Formasjonstrykk).pdf
1/6-7,1/6-7 REPORTED BY LICENSEE: 1928_1_6_7_Completion_Log (pdf),https://factpages.npd.no/pbl/wellbore_documents/1928_1_6_7_Completion_Log.pdf
1/6-7,1/6-7 REPORTED BY LICENSEE: 1928_1_6_7_Completion_Report (pdf),https://factpages.npd.no/pbl/wellbore_documents/1928_1_6_7_Completion_Report.pdf
1/9-1,1/9-1 COMPOSITE LOG: 243_1_9_1 (pdf),https://factpages.npd.no/pbl/wellbore_composite_logs/243_1_9_1.pdf
1/9-1,1/9-1 GEOCHEMICAL INFORMATION: 243_1 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/243_1.pdf
1/9-1,1/9-1 GEOCHEMICAL INFORMATION: 243_2 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/243_2.pdf
1/9-1,1/9-1 REPORTED BY LICENSEE: 243_1_9_1_and_1_9_2_Pore_pressure_fracture_gradients (pdf),https://factpages.npd.no/pbl/wellbore_documents/243_1_9_1_and_1_9_2_Pore_pressure_fracture_gradients.pdf
1/9-1,1/9-1 REPORTED BY LICENSEE: 243_1_9_1_Completion_log (pdf),https://factpages.npd.no/pbl/wellbore_documents/243_1_9_1_Completion_log.pdf
1/9-1,1/9-1 REPORTED BY LICENSEE: 243_1_9_1_Completion_report_I (pdf),https://factpages.npd.no/pbl/wellbore_documents/243_1_9_1_Completion_report_I.pdf
